"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate"
"19174","46.979073","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"19200","47.084244","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"19221","47.184616","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm","6.5"
"19319","47.390775","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"19350","47.489897","Commscope_23:24:6c","Broadcast","802.11","287","-40 dBm","6.5"
"19381","47.594323","Commscope_23:24:6c","Broadcast","802.11","287","-40 dBm","6.5"
"19415","47.694886","Commscope_23:24:6c","Broadcast","802.11","287","-42 dBm","6.5"
"19481","47.901777","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"19516","48.003818","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"19573","48.107811","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"19578","48.112579","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-39 dBm","6"
"19579","48.113940","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-39 dBm","6"
"19580","48.113945","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-40 dBm","6"
"19581","48.121850","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-39 dBm","6"
"19582","48.121853","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-40 dBm","6"
"19583","48.122286","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-40 dBm","6"
"19584","48.127017","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-39 dBm","6"
"19591","48.148105","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-40 dBm","6"
"19592","48.153061","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-40 dBm","6"
"19593","48.153066","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-39 dBm","6"
"19595","48.153355","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-40 dBm","6"
"19615","48.206837","Commscope_23:24:6c","Broadcast","802.11","287","-41 dBm","6.5"
"19646","48.309591","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"19676","48.413441","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"19723","48.513620","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"19764","48.620010","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"19796","48.718808","Commscope_23:24:6c","Broadcast","802.11","287","-40 dBm","6.5"
"19838","48.821584","Commscope_23:24:6c","Broadcast","802.11","287","-40 dBm","6.5"
"19891","48.923573","Commscope_23:24:6c","Broadcast","802.11","287","-40 dBm","6.5"
"19901","48.945818","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-40 dBm","6"
"19902","48.945825","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-40 dBm","6"
"19904","48.945832","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-40 dBm","6"
"19905","48.945835","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-39 dBm","6"
"19917","48.956111","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-40 dBm","6"
"19918","48.956114","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-40 dBm","6"
"19919","48.957280","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-39 dBm","6"
"19921","48.958778","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-39 dBm","6"
"19949","49.027005","Commscope_23:24:6c","Broadcast","802.11","287","-40 dBm","6.5"
"19989","49.130228","Commscope_23:24:6c","Broadcast","802.11","287","-40 dBm","6.5"
"20029","49.232995","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"20063","49.334391","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"20094","49.437601","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"20120","49.539865","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"20150","49.639625","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"20202","49.743195","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"20219","49.768045","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-36 dBm","6"
"20220","49.768071","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-38 dBm","6"
"20222","49.768080","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-37 dBm","6"
"20225","49.770410","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-37 dBm","6"
"20257","49.848722","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"20313","50.051819","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"20345","50.152341","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"20374","50.256776","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"20406","50.343247","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-38 dBm","6"
"20407","50.343249","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-36 dBm","6"
"20408","50.345676","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-38 dBm","6"
"20409","50.345680","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-36 dBm","6"
"20419","50.359878","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"20428","50.372526","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-35 dBm","6"
"20429","50.372532","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-36 dBm","6"
"20443","50.393562","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-36 dBm","6"
"20444","50.393565","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-36 dBm","6"
"20445","50.393568","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-37 dBm","6"
"20450","50.408646","Commscope_23:24:6c","VantivaUSA_f2:df:8c","802.11","387","-35 dBm","6"
"20478","50.459621","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"20560","50.666347","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"20611","50.767188","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm","6.5"
"20646","50.871194","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"20682","50.971750","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"20708","51.037304","Commscope_23:24:6c","fe:34:4d:14:9e:d9","802.11","387","-35 dBm","6"
"20709","51.037309","Commscope_23:24:6c","fe:34:4d:14:9e:d9","802.11","387","-36 dBm","6"
"20710","51.037312","Commscope_23:24:6c","fe:34:4d:14:9e:d9","802.11","387","-34 dBm","6"
"20711","51.037420","Commscope_23:24:6c","fe:34:4d:14:9e:d9","802.11","387","-35 dBm","6"
"20727","51.077705","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"20758","51.176599","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"20791","51.278211","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"20825","51.382090","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"20862","51.485513","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"20905","51.589110","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"20936","51.680665","Commscope_23:24:6c","5e:bc:43:43:cd:3c","802.11","387","-37 dBm","6"
"20937","51.680669","Commscope_23:24:6c","5e:bc:43:43:cd:3c","802.11","387","-37 dBm","6"
"20938","51.680674","Commscope_23:24:6c","5e:bc:43:43:cd:3c","802.11","387","-37 dBm","6"
"20939","51.680955","Commscope_23:24:6c","5e:bc:43:43:cd:3c","802.11","387","-37 dBm","6"
