"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"4546","19.189973","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=3544, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4593","19.291776","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=3548, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4615","19.394711","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=3552, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4639","19.496858","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=3556, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4658","19.598859","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=3560, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4686","19.701739","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=3564, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4711","19.805033","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=3568, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4736","19.907290","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=3572, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4755","20.008793","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=3576, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4774","20.110924","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=3580, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4794","20.213478","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=3584, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4823","20.315699","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=3588, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4849","20.418129","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=3592, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4872","20.520481","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=3596, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4906","20.623134","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=3600, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4949","20.827700","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3608, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4970","20.930113","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3615, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4987","21.032474","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-16 dBm","Beacon frame, SN=3619, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4994","21.056507","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-17 dBm","Probe Response, SN=3623, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4995","21.057132","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-17 dBm","Probe Response, SN=3623, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4996","21.058337","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-18 dBm","Probe Response, SN=3623, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5005","21.076949","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-17 dBm","Probe Response, SN=3624, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5006","21.077554","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-17 dBm","Probe Response, SN=3624, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5007","21.078408","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-17 dBm","Probe Response, SN=3624, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5008","21.083943","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-17 dBm","Probe Response, SN=3624, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5015","21.134881","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3625, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5035","21.237290","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3629, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5065","21.339857","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-19 dBm","Beacon frame, SN=3633, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5089","21.442340","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-19 dBm","Beacon frame, SN=3637, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5112","21.544440","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3641, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5127","21.646881","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3645, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5150","21.749302","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3653, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5175","21.851728","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3657, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5199","21.954078","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3661, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5224","22.056457","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=3665, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5242","22.158872","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=3669, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
