"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"4809","21.031212","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=2198, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4836","21.135416","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2202, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4862","21.236050","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2210, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4891","21.338456","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2214, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4911","21.440808","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=2218, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4944","21.543214","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2226, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4989","21.654361","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=2232, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5023","21.749276","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2236, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5049","21.850413","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2240, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5079","21.952816","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2245, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5111","22.055165","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2249, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5141","22.157631","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=2253, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5169","22.260021","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=2257, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5202","22.362421","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2261, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5241","22.462708","1e:9d:72:6d:c4:11","16:9d:22:fc:91:2e","802.11","516","-21 dBm","Probe Response, SN=2266, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5242","22.463329","1e:9d:72:6d:c4:11","16:9d:22:fc:91:2e","802.11","516","-21 dBm","Probe Response, SN=2266, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5243","22.464220","1e:9d:72:6d:c4:11","16:9d:22:fc:91:2e","802.11","516","-21 dBm","Probe Response, SN=2266, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5244","22.464924","1e:9d:72:6d:c4:11","16:9d:22:fc:91:2e","802.11","516","-21 dBm","Probe Response, SN=2266, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5246","22.465972","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2267, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5277","22.567302","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2275, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5305","22.669610","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=2283, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5329","22.772089","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=2287, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5357","22.874409","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-23 dBm","Beacon frame, SN=2293, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5382","22.976801","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=2298, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5395","23.079224","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2302, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5416","23.181877","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2309, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5442","23.283973","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2313, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5463","23.386645","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2317, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5495","23.489427","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2321, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5526","23.591203","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2327, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5541","23.693657","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2331, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5571","23.797114","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2335, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5603","23.898294","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2339, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5623","24.000850","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2343, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5649","24.103541","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2348, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5686","24.205578","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2356, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5706","24.308002","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2360, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5736","24.412053","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2364, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5761","24.512827","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2368, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5789","24.615193","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2372, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5809","24.717598","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2376, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5838","24.819969","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2380, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"5865","24.922369","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2384, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
