"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"1679","4.597003","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-27 dBm"
"1681","4.604799","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-27 dBm"
"1682","4.604804","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"1683","4.604809","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"1696","4.639621","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"1766","4.847167","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"1808","4.947915","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"1851","5.054102","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"1891","5.162923","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"1930","5.257480","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"1964","5.360383","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"2007","5.458407","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"2071","5.677655","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"2105","5.771347","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"2132","5.879618","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"2162","5.970536","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"2194","6.073349","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"2231","6.179119","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"2242","6.219125","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-24 dBm"
"2243","6.220896","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-26 dBm"
"2244","6.220901","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-24 dBm"
"2245","6.222058","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-24 dBm"
"2318","6.380064","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"2369","6.487516","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"2408","6.587777","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"2449","6.689634","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"2504","6.793072","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"2535","6.894275","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"2568","6.995491","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"2609","7.098971","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"2641","7.199253","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"2687","7.302727","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"2725","7.404755","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"2767","7.509573","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"2808","7.600392","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-26 dBm"
"2809","7.600397","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-26 dBm"
"2810","7.601929","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-27 dBm"
"2812","7.601936","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-25 dBm"
"2819","7.614048","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"2854","7.719744","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"2891","7.813651","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"2924","7.915999","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"2963","8.019095","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"2985","8.126753","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"3017","8.223748","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"3056","8.328458","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"3076","8.433811","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"3111","8.535297","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"3150","8.639624","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"3193","8.736955","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"3233","8.838762","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"3257","8.950798","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"3286","9.047749","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"3353","9.250406","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"3385","9.350818","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"3449","9.507538","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"3450","9.507543","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"3451","9.508868","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"3452","9.508873","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"3470","9.560156","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"3471","9.560159","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"3473","9.560165","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"3474","9.560168","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"3475","9.560171","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"3480","9.576258","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"3481","9.576387","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"3482","9.576393","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"3483","9.576396","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"3509","9.657767","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"3546","9.763124","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"3594","9.862524","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
