"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"4297","16.310149","Commscope_23:24:6c","4a:06:de:e5:1c:84","802.11","387","-26 dBm"
"4314","16.340789","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4383","16.541774","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4412","16.643266","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4439","16.746322","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4460","16.808311","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-25 dBm"
"4461","16.808313","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-23 dBm"
"4463","16.809762","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-25 dBm"
"4465","16.809769","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-23 dBm"
"4474","16.834118","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-23 dBm"
"4475","16.834122","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-23 dBm"
"4476","16.834143","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-25 dBm"
"4477","16.834146","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-23 dBm"
"4479","16.843091","Commscope_23:24:6c","VantivaUSA_f2:df:8c","802.11","387","-23 dBm"
"4480","16.843094","Commscope_23:24:6c","VantivaUSA_f2:df:8c","802.11","387","-23 dBm"
"4481","16.843098","Commscope_23:24:6c","VantivaUSA_f2:df:8c","802.11","387","-23 dBm"
"4482","16.843103","Commscope_23:24:6c","VantivaUSA_f2:df:8c","802.11","387","-23 dBm"
"4484","16.849137","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4487","16.857553","Commscope_23:24:6c","VantivaUSA_ac:69:7e","802.11","387","-23 dBm"
"4488","16.858880","Commscope_23:24:6c","VantivaUSA_ac:69:7e","802.11","387","-23 dBm"
"4490","16.860204","Commscope_23:24:6c","VantivaUSA_ac:69:7e","802.11","387","-26 dBm"
"4491","16.860208","Commscope_23:24:6c","VantivaUSA_ac:69:7e","802.11","387","-23 dBm"
"4507","16.887498","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-23 dBm"
"4508","16.887505","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-25 dBm"
"4509","16.887508","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-25 dBm"
"4533","16.954414","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4599","17.155628","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4620","17.259310","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4676","17.463016","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"4711","17.566094","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4762","17.773068","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4796","17.872548","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4830","17.974879","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4854","18.078196","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4869","18.143232","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4870","18.143235","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4871","18.144421","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4872","18.145757","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4881","18.168788","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4882","18.168796","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"4883","18.168800","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4884","18.168803","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4894","18.179617","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4899","18.192977","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4900","18.195458","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"4901","18.195777","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4902","18.195781","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"4909","18.223181","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4910","18.223948","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4911","18.223952","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"4912","18.223955","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4916","18.249753","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"4917","18.249759","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"4918","18.249764","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4919","18.249848","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"4933","18.282275","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"4960","18.384260","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5001","18.487026","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5032","18.598859","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5058","18.692525","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5087","18.794493","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5111","18.897466","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5144","19.000333","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5178","19.100434","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5466","20.125621","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"5476","20.169827","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-30 dBm"
"5477","20.169831","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-30 dBm"
"5478","20.169836","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-28 dBm"
"5479","20.170144","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-29 dBm"
"5504","20.234110","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"5548","20.395331","Commscope_23:24:6c","a2:ca:6c:db:65:f0","802.11","387","-26 dBm"
"5551","20.401749","Commscope_23:24:6c","a2:ca:6c:db:65:f0","802.11","387","-28 dBm"
"5557","20.415843","Commscope_23:24:6c","a2:ca:6c:db:65:f0","802.11","387","-25 dBm"
"5559","20.417306","Commscope_23:24:6c","a2:ca:6c:db:65:f0","802.11","387","-27 dBm"
"5560","20.417311","Commscope_23:24:6c","ae:42:ec:95:5b:9f","802.11","387","-28 dBm"
"5561","20.419189","Commscope_23:24:6c","ae:42:ec:95:5b:9f","802.11","387","-26 dBm"
"5562","20.419192","Commscope_23:24:6c","ae:42:ec:95:5b:9f","802.11","387","-27 dBm"
"5563","20.420941","Commscope_23:24:6c","ae:42:ec:95:5b:9f","802.11","387","-28 dBm"
"5578","20.435718","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"5610","20.564497","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"5647","20.638970","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
