"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate"
"10673","25.330453","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-35 dBm","6"
"10674","25.330456","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-32 dBm","6"
"10675","25.330458","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-33 dBm","6"
"10676","25.330981","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-33 dBm","6"
"10702","25.381768","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"10769","25.590148","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"10802","25.691205","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"10832","25.803065","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"10873","25.897508","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"10941","26.122567","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"10953","26.147240","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-30 dBm","6"
"10954","26.147241","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-30 dBm","6"
"10955","26.147243","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-31 dBm","6"
"10956","26.147245","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","-31 dBm","6"
"10989","26.201241","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"11022","26.306466","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"11055","26.408860","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"11056","26.408863","Commscope_23:24:6c","VantivaUSA_47:c6:30","802.11","387","-30 dBm","6"
"11057","26.408866","Commscope_23:24:6c","VantivaUSA_47:c6:30","802.11","387","-30 dBm","6"
"11058","26.408996","Commscope_23:24:6c","VantivaUSA_47:c6:30","802.11","387","-30 dBm","6"
"11059","26.408999","Commscope_23:24:6c","VantivaUSA_47:c6:30","802.11","387","-30 dBm","6"
"11089","26.508294","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"11127","26.611766","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"11142","26.653733","Commscope_23:24:6c","Intel_6f:08:a1","802.11","387","-31 dBm","6"
"11143","26.653735","Commscope_23:24:6c","Intel_6f:08:a1","802.11","387","-32 dBm","6"
"11144","26.653737","Commscope_23:24:6c","Intel_6f:08:a1","802.11","387","-31 dBm","6"
"11145","26.654793","Commscope_23:24:6c","Intel_6f:08:a1","802.11","387","-31 dBm","6"
"11167","26.715995","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"11188","26.772293","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-33 dBm","6"
"11189","26.772299","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-32 dBm","6"
"11190","26.772302","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-32 dBm","6"
"11191","26.773493","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-33 dBm","6"
"11208","26.817646","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"11245","26.920225","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"11286","27.023215","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"11319","27.125708","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"11365","27.226486","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"11393","27.330518","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"11435","27.430632","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"11473","27.535233","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"11504","27.639001","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"11537","27.741594","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"11586","27.842237","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"11623","27.941132","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-30 dBm","6"
"11624","27.942390","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"11625","27.942393","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-30 dBm","6"
"11626","27.943513","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-31 dBm","6"
"11627","27.944936","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-30 dBm","6"
"11671","28.046279","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"11706","28.147176","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"11734","28.250343","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"11763","28.353804","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"11805","28.456852","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm","6.5"
"11838","28.558570","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"11864","28.665154","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"11896","28.764117","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"11927","28.882670","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"11968","28.970572","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"12017","29.071253","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"12050","29.172727","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"12101","29.296599","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","0 dBm","6"
"12102","29.296603","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","0 dBm","6"
"12112","29.341335","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-29 dBm","6"
"12113","29.341342","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-28 dBm","6"
"12114","29.341345","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-28 dBm","6"
"12115","29.341347","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-29 dBm","6"
"12126","29.378474","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"12134","29.394266","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-28 dBm","6"
"12135","29.394278","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-28 dBm","6"
"12137","29.394282","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-29 dBm","6"
"12138","29.394886","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-28 dBm","6"
"12153","29.480970","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"12186","29.583268","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"12272","29.785870","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"12304","29.906973","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
