"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"1864","4.360632","Commscope_23:24:6c","VantivaUSA_b8:2c:66","802.11","387","0 dBm"
"1882","4.392174","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"1920","4.497678","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1934","4.515648","Commscope_23:24:6c","VantivaUSA_bb:04:d1","802.11","387","-22 dBm"
"1935","4.515653","Commscope_23:24:6c","VantivaUSA_bb:04:d1","802.11","387","-21 dBm"
"1936","4.516985","Commscope_23:24:6c","VantivaUSA_bb:04:d1","802.11","387","-21 dBm"
"1937","4.516990","Commscope_23:24:6c","VantivaUSA_bb:04:d1","802.11","387","-21 dBm"
"2017","4.699565","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"2054","4.810560","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"2066","4.826918","Commscope_23:24:6c","VantivaUSA_ac:69:7e","802.11","387","-23 dBm"
"2067","4.828059","Commscope_23:24:6c","VantivaUSA_ac:69:7e","802.11","387","-21 dBm"
"2068","4.829755","Commscope_23:24:6c","VantivaUSA_ac:69:7e","802.11","387","-21 dBm"
"2069","4.829759","Commscope_23:24:6c","VantivaUSA_ac:69:7e","802.11","387","-21 dBm"
"2092","4.906925","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"2115","4.973422","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-22 dBm"
"2116","4.973429","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-22 dBm"
"2117","4.973433","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-22 dBm"
"2118","4.974646","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-24 dBm"
"2140","4.997809","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-21 dBm"
"2141","4.997814","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-22 dBm"
"2142","4.998979","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-22 dBm"
"2143","5.000674","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-23 dBm"
"2150","5.008537","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"2178","5.114572","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"2216","5.208049","Commscope_23:24:6c","VantivaUSA_eb:46:50","802.11","387","-22 dBm"
"2218","5.209398","Commscope_23:24:6c","VantivaUSA_eb:46:50","802.11","387","-23 dBm"
"2219","5.209403","Commscope_23:24:6c","VantivaUSA_eb:46:50","802.11","387","-23 dBm"
"2220","5.210581","Commscope_23:24:6c","VantivaUSA_eb:46:50","802.11","387","-22 dBm"
"2221","5.210584","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"2248","5.313116","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"2289","5.415945","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"2323","5.517978","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"2354","5.624776","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"2392","5.724802","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"2428","5.825146","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"2460","5.927323","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"2499","6.032512","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"2533","6.137546","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"2574","6.234912","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"2616","6.340575","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"2644","6.444002","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"2685","6.544316","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"2715","6.658967","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"2747","6.747237","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"2784","6.854828","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"2832","6.951356","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"2869","7.054817","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-21 dBm"
"2870","7.054826","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-20 dBm"
"2871","7.054830","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-22 dBm"
"2873","7.054852","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"2901","7.162320","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"2938","7.264789","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"2976","7.361155","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"3010","7.466436","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"3042","7.569464","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"3072","7.684175","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"3114","7.773343","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"3184","7.876317","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"3260","7.981788","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"3323","8.078058","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"3349","8.124479","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-23 dBm"
"3351","8.124489","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-23 dBm"
"3352","8.124493","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-22 dBm"
"3355","8.124573","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-22 dBm"
"3380","8.186519","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"3505","8.391245","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"3529","8.493701","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"3576","8.596010","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"3607","8.694974","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
