"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"9570","39.492508","1e:9d:72:6d:c4:11","ublox_20:18:f9","802.11","516","-28 dBm","Probe Response, SN=3640, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9571","39.493525","1e:9d:72:6d:c4:11","ublox_20:18:f9","802.11","516","-29 dBm","Probe Response, SN=3640, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9572","39.494661","1e:9d:72:6d:c4:11","ublox_20:18:f9","802.11","516","-28 dBm","Probe Response, SN=3640, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9573","39.495214","1e:9d:72:6d:c4:11","ublox_20:18:f9","802.11","516","-29 dBm","Probe Response, SN=3640, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9578","39.515221","1e:9d:72:6d:c4:11","ublox_20:18:f9","802.11","516","0 dBm","Probe Response, SN=3641, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9579","39.517029","1e:9d:72:6d:c4:11","ublox_20:18:f9","802.11","516","0 dBm","Probe Response, SN=3641, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9580","39.519786","1e:9d:72:6d:c4:11","ublox_20:18:f9","802.11","516","0 dBm","Probe Response, SN=3641, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9584","39.539115","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3642, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9607","39.638337","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3647, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9629","39.742464","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3651, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9653","39.841520","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3655, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9680","39.943781","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3661, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9705","40.046385","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3665, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9743","40.251609","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3673, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"9765","40.355866","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3677, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
