"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"27341","89.110844","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2306, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27361","89.212953","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2310, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27382","89.321762","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2314, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27399","89.418008","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2318, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27417","89.520167","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2322, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27438","89.622805","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2326, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27467","89.724976","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2330, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27486","89.795617","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-29 dBm","Probe Response, SN=2334, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27487","89.796536","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-28 dBm","Probe Response, SN=2334, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27488","89.797338","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-29 dBm","Probe Response, SN=2334, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27489","89.797993","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-26 dBm","Probe Response, SN=2334, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27491","89.801648","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-28 dBm","Probe Response, SN=2335, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27492","89.802428","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-29 dBm","Probe Response, SN=2335, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27493","89.803435","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-29 dBm","Probe Response, SN=2335, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27494","89.804487","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-28 dBm","Probe Response, SN=2335, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27496","89.827355","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2336, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27521","89.929743","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2340, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27548","90.032173","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2344, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27591","90.236918","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2351, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27613","90.339368","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2356, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27640","90.441753","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2360, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27663","90.544141","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2364, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27695","90.646640","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=2369, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27721","90.748960","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2373, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27746","90.851354","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-30 dBm","Beacon frame, SN=2377, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27766","90.953758","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2381, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27792","91.056193","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2385, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27825","91.158599","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2395, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27857","91.260962","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2399, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27882","91.363360","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2404, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"27907","91.465741","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2409, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
